index,city,wikidata,source_title,label,commons_file,license,author,page
026,BUDAPEST,Q465534,Széchenyi Chain Bridge,Széchenyi Chain Bridge,Budapest - Chain Bridge - panoramio.jpg,CC BY 3.0,Alireza Javaheri,https://commons.wikimedia.org/wiki/File:Budapest_-_Chain_Bridge_-_panoramio.jpg
027,ESTOCOLMO,Q901371,Vasa Museum,Vasa Museum,Vasa Museum building view from the sea (3).jpg,CC BY-SA 3.0,Hanay,https://commons.wikimedia.org/wiki/File:Vasa_Museum_building_view_from_the_sea_(3).jpg
028,COPENHAGUE,Q214619,The Little Mermaid (statue),The Little Mermaid,Petite sirène de Copenhague (conforme à la loi danoise).JPG,CC0,Benoît Prieur,https://commons.wikimedia.org/wiki/File:Petite_sir%C3%A8ne_de_Copenhague_(conforme_%C3%A0_la_loi_danoise).JPG
029,HELSINKI,Q738015,Helsinki Cathedral,Helsinki Cathedral,Lutheran Cathedral Helsinki.jpg,CC BY-SA 3.0,Hans Hillewaert,https://commons.wikimedia.org/wiki/File:Lutheran_Cathedral_Helsinki.jpg
030,REYKJAVIK,Q886946,Blue Lagoon (geothermal spa),Blue Lagoon,Blue Lagoon 2012-08-23 (4).JPG,CC BY-SA 3.0,Bloody-libu,https://commons.wikimedia.org/wiki/File:Blue_Lagoon_2012-08-23_(4).JPG
031,DUBLIN,Q258464,Trinity College Dublin,"Trinity College, Dublin",ImeldaCasey TrinityatNight.jpg,CC BY-SA 4.0,Imelda Casey,https://commons.wikimedia.org/wiki/File:ImeldaCasey_TrinityatNight.jpg
032,EDIMBURGO,Q212065,Edinburgh Castle,Edinburgh Castle,Edinburgh Castle from the Grassmarket.jpg,CC BY-SA 4.0,Stephencdickson,https://commons.wikimedia.org/wiki/File:Edinburgh_Castle_from_the_Grassmarket.jpg
033,ZURICH,Q14407,Lake Zurich,Lake Zurich,Zuerichsee.jpg,CC BY 2.5,Adrian Michael,https://commons.wikimedia.org/wiki/File:Zuerichsee.jpg
034,LA CORUNA,Q245151,Tower of Hercules,Tower of Hercules,Torre de Hércules 2023.jpg,CC BY-SA 4.0,Fernando,https://commons.wikimedia.org/wiki/File:Torre_de_H%C3%A9rcules_2023.jpg
035,MARRAKESH,Q258348,Jemaa el-Fnaa,Jemaa el-Fnaa,MoroccoMarrakech DjemaaElFna..jpg,CC BY-SA 3.0,Dániel Csörföly,https://commons.wikimedia.org/wiki/File:MoroccoMarrakech_DjemaaElFna..jpg
036,NAIROBI,Q739993,Nairobi National Park,Nairobi National Park,A lone giraffe in Nairobi National Park.jpg,CC BY-SA 3.0,The original uploader was Mkimemia at English Wikipedia.,https://commons.wikimedia.org/wiki/File:A_lone_giraffe_in_Nairobi_National_Park.jpg
037,CIUDAD DEL CABO,Q213360,Table Mountain,Table Mountain,Table Mountain DanieVDM.jpg,CC BY 2.0,"Danie van der Merwe from Cape Town, South Africa",https://commons.wikimedia.org/wiki/File:Table_Mountain_DanieVDM.jpg
038,LAGOS,Q6970499,National Arts Theatre,National Arts Theatre,The National Arts Theatre in Lagos (7099736099).jpg,CC BY-SA 2.0,Maersk Line,https://commons.wikimedia.org/wiki/File:The_National_Arts_Theatre_in_Lagos_(7099736099).jpg
039,DAKAR,Q470763,African Renaissance Monument,African Renaissance Monument,The African Renaissance Monument.jpg,CC BY 4.0,Richard N Horne,https://commons.wikimedia.org/wiki/File:The_African_Renaissance_Monument.jpg
040,DUBAI,Q12495,Burj Khalifa,Burj Khalifa,Dubai skyline 2015 (crop).jpg,CC BY-SA 3.0,Tim.Reckmann,https://commons.wikimedia.org/wiki/File:Dubai_skyline_2015_(crop).jpg
041,DOHA,Q1234812,Doha Corniche,Doha Corniche,"Doha Chorniche, Qatar - panoramio.jpg",CC BY 3.0,Jaseem Hamza,"https://commons.wikimedia.org/wiki/File:Doha_Chorniche,_Qatar_-_panoramio.jpg"
042,BANGKOK,Q873769,Grand Palace,Grand Palace,0005574-พระบรมมหาราชวังและวัดพระศรีรัตนราศดาราม.jpg,CC BY-SA 4.0,Preecha.MJ,https://commons.wikimedia.org/wiki/File:0005574-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1.jpg
043,SINGAPUR,Q208760,Merlion,Merlion,Singapore Merlion BCT.jpg,CC BY-SA 3.0,Bjørn Christian Tørrissen,https://commons.wikimedia.org/wiki/File:Singapore_Merlion_BCT.jpg
044,HONG KONG,Q17541,Victoria Peak,Victoria Peak,High West and Victoria Peak from Victoria Gap (crop1).jpg,CC BY-SA 3.0,Daniel Case,https://commons.wikimedia.org/wiki/File:High_West_and_Victoria_Peak_from_Victoria_Gap_(crop1).jpg
045,SEUL,Q482485,Gyeongbokgung,Gyeongbokgung,광화문 월대.jpg,KOGL Type 1,서울관광 아카이브,https://commons.wikimedia.org/wiki/File:%EA%B4%91%ED%99%94%EB%AC%B8_%EC%9B%94%EB%8C%80.jpg
046,HANOI,Q1151254,Hoan Kiem Lake,Hoàn Kiếm Lake,Ho Hoan Kiem (13574475044).jpg,CC BY 2.0,Bem photography:,https://commons.wikimedia.org/wiki/File:Ho_Hoan_Kiem_(13574475044).jpg
047,YAKARTA,Q145151,National Monument (Indonesia),National Monument of Indonesia,Around Monas Jakarta (2025) (cropped).jpg,CC BY 4.0,Chainwit.,https://commons.wikimedia.org/wiki/File:Around_Monas_Jakarta_(2025)_(cropped).jpg
048,AUCKLAND,Q722125,Sky Tower (Auckland),Sky Tower,Auckland Sky Tower closeup.jpg,CC BY-SA 4.0,Orderinchaos,https://commons.wikimedia.org/wiki/File:Auckland_Sky_Tower_closeup.jpg
049,LIMA,Q676203,Machu Picchu,Machu Picchu,80 - Machu Picchu - Juin 2009 - edit.jpg,CC BY-SA 3.0,Martin St-Amant (S23678),https://commons.wikimedia.org/wiki/File:80_-_Machu_Picchu_-_Juin_2009_-_edit.jpg
050,SANTIAGO,Q5456,Andes,Andes,Andes 70.30345W 42.99203S.jpg,Public domain,Originally uploaded by JuWiki (Transferred by Grondemar),https://commons.wikimedia.org/wiki/File:Andes_70.30345W_42.99203S.jpg
